Type of Credit,Bond Series,Ratings,BPA Sale Date,Series Original Final Maturity,Principal Amount at Issuance,Outstanding Fixed Rate Par,Outstanding Variable Rate Par,Outstanding Synthetic Fixed Par,Total Outstanding Par,TIC,Posted Date
Hudson Rail Yards Trust Obligations,2020A,(A3/NAF/NAF/A-),03/27/2020,11/15/2046,162.66,113.38,0.00,0.00,113.38,0.0428,10/20/2023
Hudson Rail Yards Trust Obligations,2016A,(A3/NAF/NAF/A-),09/22/2016,11/15/2056,1057.43,682.43,0.00,0.00,682.43,0.0428,10/20/2023
State Service Contract Bonds,2002A,(AA/AA),06/05/2002,07/01/2031,0.00,0.00,0.00,0.00,0.00,0,10/20/2023
Sales Tax Revenue Bonds,2023A,(NAF/AA+/AAA/NAF),03/15/2023,05/15/2063,1253.75,1253.75,0.00,0.00,1253.75,0.0458,10/20/2023
Sales Tax Revenue Bonds,2022A,(NAF/AA+/AAA/NAF),07/20/2022,05/15/2062,700.00,700.00,0.00,0.00,700.00,0.0438,10/20/2023
Payroll Mobility Tax Obligations,2023C,(NAF/AA+/AA+/AA+),10/19/2023,11/15/2043,1130.20,1130.20,0.00,0.00,1130.20,0.0445,10/20/2023
Payroll Mobility Tax Obligations,2023B,(NAF/AA+/AA+/AA+),07/06/2023,11/15/2059,600.00,600.00,0.00,0.00,600.00,0.0477,10/20/2023
Payroll Mobility Tax Obligations,2023A,(NAF/AA+/AA+/AA+),01/12/2023,11/15/2037,764.95,764.95,0.00,0.00,764.95,0.031,10/20/2023
Payroll Mobility Tax Obligations,2022B BANS,(NAF/AA+/AA+/AA+),12/15/2022,12/16/2024,766.54,766.54,0.00,0.00,766.54,0.0275,10/20/2023
Payroll Mobility Tax Obligations,2022E,(NAF/AA+/AA+/AA+),11/01/2022,11/15/2032,700.20,600.64,11.23,88.33,700.20,0.045,10/20/2023
